58,इन्द्रारि,1.1.12,1.1.12.1.5,पुं.,स्वर्गवर्गः,असुरः
59,दानव,1.1.12,1.1.12.1.6,पुं.,स्वर्गवर्गः,असुरः
60,शुक्रशिष्य,1.1.12,1.1.12.2.1,पुं.,स्वर्गवर्गः,असुरः
61,दितिसुत,1.1.12,1.1.12.2.2,पुं.,स्वर्गवर्गः,असुरः
62,पूर्वदेव,1.1.12,1.1.12.2.3,पुं.,स्वर्गवर्गः,असुरः
63,सुरद्विष्,1.1.12,1.1.12.2.4,पुं.,स्वर्गवर्गः,असुरः
64,सर्वज्ञ,1.1.13,1.1.13.1.1,पुं.,स्वर्गवर्गः,बुद्धः
65,सुगत,1.1.13,1.1.13.1.2,पुं.,स्वर्गवर्गः,बुद्धः
66,बुद्ध,1.1.13,1.1.13.1.3,पुं.,स्वर्गवर्गः,बुद्धः
67,धर्मराज,1.1.13,1.1.13.1.4,पुं.,स्वर्गवर्गः,बुद्धः
68,तथागत,1.1.13,1.1.13.1.5,पुं.,स्वर्गवर्गः,बुद्धः
69,समन्तभद्र,1.1.13,1.1.13.2.1,पुं.,स्वर्गवर्गः,बुद्धः
70,भगवत्,1.1.13,1.1.13.2.2,पुं.,स्वर्गवर्गः,बुद्धः
71,मारजित्,1.1.13,1.1.13.2.3,पुं.,स्वर्गवर्गः,बुद्धः
72,लोकजित्,1.1.13,1.1.13.2.4,पुं.,स्वर्गवर्गः,बुद्धः
73,जिन,1.1.13,1.1.13.2.5,पुं.,स्वर्गवर्गः,बुद्धः
74,षडभिज्ञ,1.1.14,1.1.14.1.1,पुं.,स्वर्गवर्गः,बुद्धः
75,दशबल,1.1.14,1.1.14.1.2,पुं.,स्वर्गवर्गः,बुद्धः
76,अद्वयवादिन्,1.1.14,1.1.14.1.3,पुं.,स्वर्गवर्गः,बुद्धः
77,विनायक,1.1.14,1.1.14.1.4,पुं.,स्वर्गवर्गः,बुद्धः
78,मुनीन्द्र,1.1.14,1.1.14.2.1,पुं.,स्वर्गवर्गः,बुद्धः
79,श्रीघन,1.1.14,1.1.14.2.2,पुं.,स्वर्गवर्गः,बुद्धः
80,शास्तृ,1.1.14,1.1.14.2.3,पुं.,स्वर्गवर्गः,बुद्धः
81,मुनि,1.1.14,1.1.14.2.4,पुं.,स्वर्गवर्गः,बुद्धः
82,शाक्यमुनि,1.1.14,1.1.14.2.5,पुं.,स्वर्गवर्गः,शाक्यः
83,शाक्यसिंह,1.1.15,1.1.15.1.1,पुं.,स्वर्गवर्गः,शाक्यः
84,सर्वार्थसिद्ध,1.1.15,1.1.15.1.2,पुं.,स्वर्गवर्गः,शाक्यः
85,शौद्धोदनि,1.1.15,1.1.15.1.3,पुं.,स्वर्गवर्गः,शाक्यः
86,गौतम,1.1.15,1.1.15.2.1,पुं.,स्वर्गवर्गः,शाक्यः
87,अर्कबन्धु,1.1.15,1.1.15.2.2,पुं.,स्वर्गवर्गः,शाक्यः
88,मायादेवीसुत,1.1.15,1.1.15.2.3,पुं.,स्वर्गवर्गः,शाक्यः
89,ब्रह्मन्,1.1.16,1.1.16.1.1,पुं.,स्वर्गवर्गः,ब्रह्मा
90,आत्मभू,1.1.16,1.1.16.1.2,पुं.,स्वर्गवर्गः,ब्रह्मा
91,सुरज्येष्ठ,1.1.16,1.1.16.1.3,पुं.,स्वर्गवर्गः,ब्रह्मा
92,परमेष्ठिन्,1.1.16,1.1.16.1.4,पुं.,स्वर्गवर्गः,ब्रह्मा
93,पितामह,1.1.16,1.1.16.1.5,पुं.,स्वर्गवर्गः,ब्रह्मा
94,हिरण्यगर्भ,1.1.16,1.1.16.2.1,पुं.,स्वर्गवर्गः,ब्रह्मा
95,लोकेश,1.1.16,1.1.16.2.2,पुं.,स्वर्गवर्गः,ब्रह्मा
