411,महाराजिक,1.1.10.2.1,पुं-बहु.,स्वर्गवर्गः,गणदेवता,,,,,,,,,देवता,,
421,साध्य,1.1.10.2.2,पुं-बहु.,स्वर्गवर्गः,गणदेवता,,,,,,,,,देवता,,
431,रुद्र,1.1.10.2.3,पुं.,स्वर्गवर्गः,गणदेवता,,,,,,,,,देवता,,
441,विद्याधर,1.1.11.1.1,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
451,अप्सरस्,1.1.11.1.2,स्त्री-बहु.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
461,यक्ष,1.1.11.1.3,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
471,रक्ष,1.1.11.1.4,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
481,गन्धर्व,1.1.11.1.5,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
491,किन्नर,1.1.11.1.6,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
501,पिशाच,1.1.11.2.1,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
511,गुह्यक,1.1.11.2.2,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
521,सिद्ध,1.1.11.2.3,पुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
531,भूत,1.1.11.2.4,नपुं.,स्वर्गवर्गः,देवयोनिः,,,,,,,,,देवयोनिः,,
541,असुर,1.1.12.1.1,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
542,आसुर,1.1.12.1.1.2,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
551,दैत्य,1.1.12.1.2,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
561,दैतेय,1.1.12.1.3,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
571,दनुज,1.1.12.1.4,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
581,इन्द्रारि,1.1.12.1.5,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
591,दानव,1.1.12.1.6,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
601,शुक्रशिष्य,1.1.12.2.1,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
611,दितिसुत,1.1.12.2.2,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
621,पूर्वदेव,1.1.12.2.3,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
631,सुरद्विष्,1.1.12.2.4,पुं.,स्वर्गवर्गः,असुरः,,,,,,,,,देवयोनिः,,
641,सर्वज्ञ,1.1.13.1.1,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
651,सुगत,1.1.13.1.2,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
661,बुद्ध,1.1.13.1.3,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
671,धर्मराज,1.1.13.1.4,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
681,तथागत,1.1.13.1.5,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
691,समन्तभद्र,1.1.13.2.1,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
701,भगवत्,1.1.13.2.2,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
711,मारजित्,1.1.13.2.3,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
721,लोकजित्,1.1.13.2.4,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
731,जिन,1.1.13.2.5,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
741,षडभिज्ञ,1.1.14.1.1,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
