681,तथागत,1.1.13.1.5,स्वर्गवर्गः,बुद्धः,buddha
691,समन्तभद्र,1.1.13.2.1,स्वर्गवर्गः,बुद्धः,buddha
701,भगवत्,1.1.13.2.2,स्वर्गवर्गः,बुद्धः,buddha
711,मारजित्,1.1.13.2.3,स्वर्गवर्गः,बुद्धः,buddha
721,लोकजित्,1.1.13.2.4,स्वर्गवर्गः,बुद्धः,buddha
731,जिन,1.1.13.2.5,स्वर्गवर्गः,बुद्धः,buddha
741,षडभिज्ञ,1.1.14.1.1,स्वर्गवर्गः,बुद्धः,buddha
751,दशबल,1.1.14.1.2,स्वर्गवर्गः,बुद्धः,buddha
761,अद्वयवादिन्,1.1.14.1.3,स्वर्गवर्गः,बुद्धःbuddha,
771,विनायक,1.1.14.1.4,स्वर्गवर्गः,बुद्धः,buddha
781,मुनीन्द्र,1.1.14.2.1,स्वर्गवर्गः,बुद्धः,buddha
791,श्रीघन,1.1.14.2.2,स्वर्गवर्गः,बुद्धः,buddha
801,शास्तृ,1.1.14.2.3,स्वर्गवर्गः,बुद्धः,buddha
811,मुनि,1.1.14.2.4,स्वर्गवर्गः,बुद्धः,buddha
821,शाक्यमुनि,1.1.14.2.5,स्वर्गवर्गः,शाक्यः,the buddha
831,शाक्यसिंह,1.1.15.1.1,स्वर्गवर्गः,शाक्यः,the buddha
841,सर्वार्थसिद्ध,1.1.15.1.2,स्वर्गवर्गः,शाक्यः,the buddha
851,शौद्धोदनि,1.1.15.1.3,स्वर्गवर्गः,शाक्यः,the buddha
861,गौतम,1.1.15.2.1,स्वर्गवर्गः,शाक्यः,the buddha
871,अर्कबन्धु,1.1.15.2.2,स्वर्गवर्गः,शाक्यः,the buddha
881,मायादेवीसुत,1.1.15.2.3,स्वर्गवर्गः,शाक्यः,the buddha
891,ब्रह्मन्,1.1.16.1.1,स्वर्गवर्गः,ब्रह्मा,brahma
901,आत्मभू,1.1.16.1.2,स्वर्गवर्गः,ब्रह्मा,brahma
911,सुरज्येष्ठ,1.1.16.1.3,स्वर्गवर्गः,ब्रह्मा,brahma
921,परमेष्ठिन्,1.1.16.1.4,स्वर्गवर्गः,ब्रह्मा,brahma
931,पितामह,1.1.16.1.5,स्वर्गवर्गः,ब्रह्मा,brahma
941,हिरण्यगर्भ,1.1.16.2.1,स्वर्गवर्गः,ब्रह्मा,brahma
951,लोकेश,1.1.16.2.2,स्वर्गवर्गः,ब्रह्मा,brahma
961,स्वयम्भू,1.1.16.2.3,स्वर्गवर्गः,ब्रह्मा,brahma
971,चतुरानन,1.1.16.2.4,स्वर्गवर्गः,ब्रह्मा,brahma
981,धातृ,1.1.17.1.1,स्वर्गवर्गः,ब्रह्मा,brahma
991,अब्जयोनि,1.1.17.1.2,स्वर्गवर्गः,ब्रह्मा,brahma
1001,द्रुहिण,1.1.17.1.3,स्वर्गवर्गः,ब्रह्मा,brahma
1011,विरिञ्चि,1.1.17.1.4,स्वर्गवर्गः,ब्रह्मा,brahma
