1.3.25,1.3.25.1,"शुक्रो दैत्यगुरुः काव्य उशना भार्गवः कविः।"
1.3.25,1.3.25.2,"अङ्गारकः कुजो भौमो लोहिताङ्गो महीसुतः॥"
1.3.26,1.3.26.1,"रौहिणेयो बुधः सौम्यः समौ सौरिशनैश्चरौ।"
1.3.26,1.3.26.2,"तमस्तु राहुः स्वर्भानुः सैंहिकेयो विधुन्तुदः॥"
1.3.27,1.3.27.1,"सप्तर्षयो मरीच्यत्रिमुखाश्चित्रशिखण्डिनः।"
1.3.27,1.3.27.2,"राशीनामुदयो लग्नं ते तु मेषवृषादयः॥"
1.3.28,1.3.28.1,"सूरसूर्यार्यमादित्यद्वादशात्मदिवाकराः।"
1.3.28,1.3.28.2,"भास्कराहस्करब्रध्नः प्रभाकरविभाकराः॥"
1.3.29,1.3.29.1,"भास्वद्विवस्वत्सप्ताश्वहरिदश्वोष्णरश्मयः।"
1.3.29,1.3.29.2,"विकर्तनार्कमार्तण्डमिहिरारुणपूषणः॥"
1.3.30,1.3.30.1,"द्युमणिस्तरणिर्मित्रश्चित्रभानुर्विरोचनः।"
1.3.30,1.3.30.2,"विभावसुर्ग्रहपतिस्त्विषांपतिरहर्पतिः॥"
1.3.31,1.3.31.1,"भानुर्हंसः सहस्रांशुस्तपनः सविता रविः।"
1.3.31,1.3.31.2,"पद्माक्षस्तेजसांराशिश्छायानाथस्तमिस्रहा।"
1.3.31,1.3.31.3,"कर्मसाक्षी जगच्चक्षुर्लोकबन्धुस्त्रयीतनुः।"
1.3.31,1.3.31.4,"प्रद्योतनो दिनमणिः खद्योतो लोकबान्धवः।"
1.3.31,1.3.31.5,"इनो भगो धामनिधिश्चांशुमाल्यब्जिनीपतिः।"
1.3.31,1.3.31.6,"माठरः पिङ्गलो दण्डश्चण्डांशोः पारिपार्श्वकाः॥"
1.3.32,1.3.32.1,"सूरसूतो अरुणोऽनूरुः काश्यपिर्गरुडाग्रजः।"
1.3.32,1.3.32.2,"परिवेषस्तु परिधिरुपसूर्यकमण्डले॥"
1.3.33,1.3.33.1,"किरणोऽस्रमयूखांशुगभस्तिघृणिरश्मयः।"
1.3.33,1.3.33.2,"भानुः करो मरीचिः स्त्रीपुंसयोर्दीधितिः स्त्रियाम्॥"
1.3.34,1.3.34.1,"स्युः प्रभारुग्रुचिस्त्विड्भाभाश्छविद्युतिदीप्तयः।"
1.3.34,1.3.34.2,"रोचिः शोचिरुभे क्लीबे प्रकाशो द्योत आतपः॥"
1.3.35,1.3.35.1,"कोष्णं कवोष्णं मन्दोष्णं कदुष्णं त्रिषु तद्वति।"
1.3.35,1.3.35.2,"तिग्मं तीक्ष्णं खरं तद्वन्मृगतृष्णा मरीचिका॥"
