1.1.1,1.1.1.1,"यस्य ज्ञानदयासिन्धोरगाधस्यानघा गुणाः।"
1.1.27,1.1.27.2,"लक्ष्मीः पद्मालया पद्मा कमला श्रीर्हरिप्रिया।"
1.1.27,1.1.27.3,"इन्दिरा लोकमाता मा क्षीरोदतनया रमा।"
1.1.27,1.1.27.4,"भार्गवी लोकजननी क्षीरसागरकन्यका॥"
1.1.28,1.1.28.1,"शङ्खो लक्ष्मीपतेः पाञ्चजन्यश्चक्रं सुदर्शनम्।"
1.1.28,1.1.28.2,"कौमोदकी गदा खड्गो नन्दकः कौस्तुभो मणिः।"
1.1.28,1.1.28.3,"चापः शार्ङ्गं मुरारेस्तु श्रीवत्सो लाञ्छनं स्मृतम्।"
1.1.28,1.1.28.4,"अश्वाश्च शैब्यसुग्रीवमेघपुष्पबलाहकाः।"
1.1.28,1.1.28.5,"सारथिर्दारुको मन्त्री ह्युद्धवश्चानुजो गदः॥"
1.1.29,1.1.29.1,"गरुत्मान् गरुडस्तार्क्ष्यो वैनतेयः खगेश्वरः।"
1.1.29,1.1.29.2,"नागान्तको विष्णुरथः सुपर्णः पन्नगाशनः॥"
1.1.30,1.1.30.1,"शम्भुरीशः पशुपतिः शिवः शूली महेश्वरः।"
1.1.30,1.1.30.2,"ईश्वरः शर्व ईशानः शङ्करश्चन्द्रशेखरः॥"
1.1.31,1.1.31.1,"भूतेशः खण्डपरशुर्गिरीशो गिरिशो मृडः।"
1.1.31,1.1.31.2,"मृत्युञ्जयः कृत्तिवासाः पिनाकी प्रमथाधिपः॥"
1.1.32,1.1.32.1,"उग्रः कपर्दी श्रीकण्ठः शितिकण्ठः कपालभृत्।"
1.1.32,1.1.32.2,"वामदेवो महादेवो विरूपाक्षस्त्रिलोचनः॥"
1.1.33,1.1.33.1,"कृशानुरेताः सर्वज्ञो धूर्जटिर्नीललोहितः।"
1.1.33,1.1.33.2,"हरः स्मरहरो भर्गस्त्र्यम्बकस्त्रिपुरान्तकः॥"
1.1.34,1.1.34.1,"गङ्गाधरोऽन्धकरिपुः क्रतुध्वंसी वृषध्वजः।"
1.1.34,1.1.34.2,"व्योमकेशो भवो भीमः स्थाणू रुद्र उमापतिः।"
1.1.34,1.1.34.3,"अहिर्बुध्न्योऽष्टमूर्तिश्च गजारिश्च महानटः॥"
1.1.35,1.1.35.1,"कपर्दोऽस्य जटाजूटः पिनाकोऽजगवं धनुः।"
1.1.35,1.1.35.2,"प्रमथा: स्युः पारिषदा ब्राह्मीत्याद्यास्तु मातरः।"
1.1.35,1.1.35.3,"ब्राह्मी माहेश्वरी चैव कौमारी वैष्णवी तथा।"
1.1.35,1.1.35.4,"वारीही च तथेन्द्राणी चामुण्डा सप्तमातरः॥"
1.1.36,1.1.36.1,"विभूतिर्भूतिरैश्वर्यमणिमादिकमष्टधा।"
1.1.36,1.1.36.2,"अणिमा महिमा चैव गरिमा लघिमा तथा।"
1.1.36,1.1.36.3,"प्राप्तिः प्राकाम्यमीशित्वं वशित्वं चाष्ट सिद्धयः।"
1.1.36,1.1.36.4,"उमा कात्यायनी गौरी काली हैमवतीश्वरी॥"
1.1.37,1.1.37.1,"शिवा भवानी रुद्राणी शर्वाणी सर्वमङ्गला।"
1.1.37,1.1.37.2,"अपर्णा पार्वती दुर्गा मृडानी चण्डिकाम्बिका।"
1.1.37,1.1.37.3,"आर्या दाक्षायणी चैव गिरिजा मेनकात्मजा॥"
1.1.38,1.1.38.1,"विनायको विघ्नराजद्वैमातुरगणाधिपाः।"
1.1.38,1.1.38.2,"अप्येकदन्तहेरम्बलम्बोदरगजाननाः॥"
1.1.39,1.1.39.1,"कार्तिकेयो महासेनः शरजन्मा षडाननः।"
1.1.39,1.1.39.2,"पार्वतीनन्दनः स्कन्दः सेनानीरग्निभूर्गुहः॥"
1.1.40,1.1.40.1,"बाहुलेयस्तारकजिद्विशाखः शिखिवाहनः।"
1.1.40,1.1.40.2,"षाण्मातुरः शक्तिधरः कुमारः क्रौञ्चदारणः।"
1.1.40,1.1.40.3,"शृङ्गी भृङ्गी रिटिस्तुण्डी नन्दिको नन्दिकेश्वरः।"
1.1.40,1.1.40.4,"कर्ममोटी तु चामुण्डा चर्ममुण्डा तु चर्चिका॥"
1.1.41,1.1.41.1,"इन्द्रो मरुत्वान् मघवा बिडौजाः पाकशासनः।"
1.1.41,1.1.41.2,"वृद्धश्रवाः सुनासीरः पुरुहूतः पुरन्दरः॥"
1.1.42,1.1.42.1,"जिष्णुर्लेखर्षभः शक्रः शतमन्युर्दिवस्पतिः।"
1.1.42,1.1.42.2,"सुत्रामा गोत्रभिद्वज्री वासवो वृत्रहा वृषा॥"
1.1.43,1.1.43.1,"वास्तोष्पतिः सुरपतिर्बलारातिः शचीपतिः।"
1.1.43,1.1.43.2,"जम्भभेदी हरिहयः स्वाराण्नमुचिसूदनः॥"
1.1.44,1.1.44.1,"संक्रन्दनो दुश्च्यवनस्तुराषाण्मेघवाहनः।"
1.1.44,1.1.44.2,"आखण्डलः सहस्राक्ष ऋभुक्षास्तस्य तु प्रिया॥"
1.1.45,1.1.45.1,"पुलोमजा शचीन्द्राणी नगरी त्वमरावती।"
1.1.45,1.1.45.2,"हय उच्चैःश्रवाः सूतो मातलिर्नन्दनं वनम्॥"
1.1.46,1.1.46.1,"स्यात् प्रासादो वैजयन्तो जयन्तः पाकशासनिः।"
1.1.46,1.1.46.2,"ऐरावतोऽभ्रमातङ्गैरावणाभ्रमुवल्लभाः॥"
1.1.47,1.1.47.1,"ह्रादिनी वज्रमस्त्री स्यात् कुलिशं भिदुरं पविः।"
1.1.47,1.1.47.2,"शतकोटिः स्वरुः शम्बो दम्भोलिरशनिर्द्वयोः॥"
1.1.48,1.1.48.1,"व्योमयानं विमानोऽस्त्री नारदाद्याः सुरर्षयः।"
1.1.48,1.1.48.2,"स्यात्सुधर्मा देवसभा पीयूषममृतं सुधा॥"
